timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/motor_status_x,/motor_status_y,/motor_status_z
1767723989.9668005,,,,,,,29,,,
1767723989.9854238,,,,,,,,0.0,6.0,0.0
1767723989.9974635,311.7735,345.763,203.696,,,,,,,
1767723990.011747,,,,0.0,-0.0,0.0,,,,
1767723990.0175393,,,,,,,30,,,
1767723990.0355182,,,,,,,,0.0,6.0,0.0
1767723990.0475714,311.7735,345.763,203.696,,,,,,,
1767723990.0620687,,,,0.0,-0.0,0.0,,,,
1767723990.0689652,,,,,,,31,,,
1767723990.085884,,,,,,,,0.0,6.0,0.0
1767723990.0975056,311.7735,345.763,107.647,,,,,,,
1767723990.1126282,,,,0.0,-0.0,0.0,,,,
1767723990.1236134,,,,,,,32,,,
1767723990.1354022,,,,,,,,0.0,6.0,0.0
1767723990.1470551,311.7735,345.763,108.046,,,,,,,
1767723990.1665423,,,,0.0,-0.0,0.0,,,,
1767723990.1693916,,,,,,,33,,,
1767723990.1861694,,,,,,,,0.0,6.0,0.0
1767723990.2019827,311.7735,345.763,108.046,,,,,,,
1767723990.213871,,,,0.0,-0.0,0.0,,,,
1767723990.2194602,,,,,,,34,,,
1767723990.2355075,,,,,,,,0.0,6.0,0.0
1767723990.2472746,81.877,345.763,152.69,,,,,,,
1767723990.2651985,,,,0.0,-0.0,0.0,,,,
1767723990.2747695,,,,,,,35,,,
1767723990.2880042,,,,,,,,0.0,6.0,0.0
1767723990.3038702,81.877,345.763,152.69,,,,,,,
1767723990.3130794,,,,0.0,-0.0,0.0,,,,
1767723990.3195612,,,,,,,36,,,
1767723990.3354697,,,,,,,,0.0,6.0,0.0
1767723990.3468852,81.877,345.763,203.595,,,,,,,
1767723990.3618324,,,,0.0,-0.0,0.0,,,,
1767723990.368707,,,,,,,37,,,
1767723990.3869357,,,,,,,,0.0,6.0,0.0
1767723990.403866,81.877,345.763,203.6185,,,,,,,
1767723990.4152858,,,,0.0,-0.0,0.0,,,,
1767723990.4457424,,,,,,,38,,,
1767723990.449611,,,,,,,,0.0,6.0,0.0
1767723990.46455,,,,0.0,-0.0,0.0,,,,
1767723990.4678018,81.877,345.763,203.6185,,,,,,,
1767723990.4872477,,,,,,,,0.0,6.0,0.0
1767723990.5096378,,,,,,,39,,,
1767723990.5122945,,,,0.0,-0.0,0.0,,,,
1767723990.5163825,81.877,345.763,105.8785,,,,,,,
1767723990.5367377,,,,,,,,0.0,6.0,0.0
1767723990.5520952,,,,,,,40,,,
1767723990.564538,81.877,345.763,203.7165,,,,,,,
1767723990.5647354,,,,0.0,-0.0,0.0,,,,
1767723990.5790837,,,,,,,41,,,
1767723990.5870948,,,,,,,,0.0,6.0,0.0
1767723990.6024904,81.877,76.668,203.7165,,,,,,,
1767723990.6125858,,,,0.0,-0.0,0.0,,,,
1767723990.6285932,,,,,,,42,,,
1767723990.637551,,,,,,,,0.0,6.0,0.0
1767723990.6519465,81.877,76.668,12.17,,,,,,,
1767723990.6658282,,,,0.0,-0.0,0.0,,,,
1767723990.6730797,,,,,,,43,,,
1767723990.6870806,,,,,,,,0.0,6.0,0.0
1767723990.698471,81.877,76.668,203.59,,,,,,,
1767723990.712782,,,,0.0,-0.0,0.0,,,,
1767723990.720194,,,,,,,44,,,
1767723990.7354717,,,,,,,,0.0,6.0,0.0
1767723990.7475898,81.877,76.668,152.734,,,,,,,
1767723990.7613456,,,,0.0,-0.0,0.0,,,,
1767723990.7686384,,,,,,,45,,,
1767723990.7854118,,,,,,,,0.0,6.0,0.0
1767723990.7960248,311.8255,76.668,152.734,,,,,,,
1767723990.8117876,,,,0.0,-0.0,0.0,,,,
1767723990.8170004,,,,,,,46,,,
1767723990.835321,,,,,,,,0.0,6.0,0.0
1767723991.1661277,311.8255,76.668,303.1715,,,,,,,
1767723991.1661954,,,,0.0,-0.0,0.0,,,,
1767723991.1662478,,,,,,,47,,,
1767723991.1662915,,,,,,,,0.0,6.0,0.0
1767723991.1663082,311.8255,76.668,203.6845,,,,,,,
1767723991.1663184,,,,0.0,-0.0,0.0,,,,
1767723991.1669216,,,,,,,48,,,
1767723991.1670039,,,,,,,,0.0,6.0,0.0
1767723991.167024,311.8255,76.668,105.9445,,,,,,,
1767723991.1670506,,,,0.0,-0.0,0.0,,,,
1767723991.1673632,,,,,,,49,,,
1767723991.1674848,,,,,,,,0.0,9.0,0.0
1767723991.1675124,311.809,76.668,105.9445,,,,,,,
1767723991.167529,,,,0.0,-0.0,0.0,,,,
1767723991.170647,,,,,,,50,,,
1767723991.1736126,,,,,,,,0.0,9.0,0.0
1767723991.1736915,311.809,76.668,203.1195,,,,,,,
1767723991.1737132,,,,0.0,-0.0,0.0,,,,
1767723991.173814,,,,,,,51,,,
1767723991.1738448,,,,,,,,0.0,12.0,0.0
1767723991.1738591,311.809,76.668,53.79,,,,,,,
1767723991.1738708,,,,0.0,-0.0,0.0,,,,
1767723991.1739485,,,,,,,52,,,
1767723991.173967,,,,,,,,0.0,12.0,0.0
1767723991.17398,311.809,76.668,53.79,,,,,,,
1767723991.1739922,,,,0.0,-0.0,0.0,,,,
1767723991.1897504,,,,,,,53,,,
1767723991.1930096,,,,,,,,0.0,15.0,0.0
1767723991.2072973,311.809,76.668,301.283,,,,,,,
1767723991.2116575,,,,0.0,-0.0,0.0,,,,
