timestamp,/motor_status_x,/motor_status_y,/motor_status_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/load_data_x,/load_data_y,/load_data_z
1767723321.7112536,,,,0.0,-0.0,0.0,,,,
1767723321.7135162,,,,,,,29,,,
1767723321.7149918,,,,,,,,276.091,263.461,177.9305
1767723321.7498667,0.0,0.0,0.0,,,,,,,
1767723321.75739,,,,,,,30,,,
1767723321.7588189,,,,0.0,-0.0,0.0,,,,
1767723321.7627625,,,,,,,,276.091,263.461,177.9305
1767723321.7983181,0.0,0.0,0.0,,,,,,,
1767723321.806406,,,,,,,31,,,
1767723321.809624,,,,0.0,-0.0,0.0,,,,
1767723321.8137105,,,,,,,,276.091,263.461,177.9305
1767723321.851716,0.0,0.0,0.0,,,,,,,
1767723321.8570468,,,,,,,32,,,
1767723321.8591838,,,,0.0,-0.0,0.0,,,,
1767723321.864001,,,,,,,,276.091,263.461,261.281
1767723321.8985405,0.0,0.0,0.0,,,,,,,
1767723321.9041302,,,,,,,33,,,
1767723321.9141068,,,,0.0,-0.0,0.0,,,,
1767723321.9152877,,,,,,,,276.091,263.461,177.9855
1767723321.9528654,0.0,0.0,0.0,,,,,,,
1767723321.9641395,,,,0.0,-0.0,0.0,,,,
1767723321.964208,,,,,,,,276.091,263.461,178.004
1767723321.9692483,,,,,,,34,,,
1767723321.9992633,0.0,0.0,0.0,,,,,,,
1767723322.0048232,,,,,,,35,,,
1767723322.0099669,,,,0.0,-0.0,0.0,,,,
1767723322.0135431,,,,,,,,276.091,263.461,177.958
1767723322.0496073,0.0,0.0,0.0,,,,,,,
1767723322.057804,,,,,,,36,,,
1767723322.0588076,,,,0.0,-0.0,0.0,,,,
1767723322.0621705,,,,,,,,276.091,263.461,94.949
1767723322.0991454,0.0,0.0,0.0,,,,,,,
1767723322.10967,,,,0.0,-0.0,0.0,,,,
1767723322.1116352,,,,,,,37,,,
1767723322.1127622,,,,,,,,141.908,263.461,178.007
1767723322.149579,0.0,0.0,0.0,,,,,,,
1767723322.1575553,,,,,,,38,,,
1767723322.1588948,,,,0.0,-0.0,0.0,,,,
1767723322.1612287,,,,,,,,141.908,263.461,178.024
1767723322.1986303,0.0,0.0,0.0,,,,,,,
1767723322.2076793,,,,,,,39,,,
1767723322.2099779,,,,0.0,-0.0,0.0,,,,
1767723322.212486,,,,,,,,141.908,263.461,178.024
1767723322.2492745,0.0,0.0,0.0,,,,,,,
1767723322.2572773,,,,,,,40,,,
1767723322.2586343,,,,0.0,-0.0,0.0,,,,
1767723322.2620568,,,,,,,,141.908,263.461,94.938
1767723322.2987063,0.0,0.0,0.0,,,,,,,
1767723322.3097818,,,,,,,41,,,
1767723322.3125055,,,,0.0,-0.0,0.0,,,,
1767723322.3256304,,,,,,,,141.908,263.461,177.9375
1767723322.3498168,0.0,0.0,0.0,,,,,,,
1767723322.3577926,,,,,,,42,,,
1767723322.358773,,,,0.0,-0.0,0.0,,,,
1767723322.3603132,,,,,,,,141.908,263.4625,178.0405
1767723322.3994832,0.0,0.0,0.0,,,,,,,
1767723322.4102247,,,,0.0,-0.0,0.0,,,,
1767723322.4109368,,,,,,,43,,,
1767723322.4145668,,,,,,,,141.908,263.4625,178.0405
1767723322.4491563,0.0,0.0,0.0,,,,,,,
